Year,Month,State,City,Vicinity,Sucess,Suicide,Attack type,Target,Terrorist Group,No of terrorists,Weapon type,Killed,Wounded
1980,3,Unknown,Chiaplant,0,1,0,Assassination,Educational Institution,Mizo National Front,0,Firearms,1,0
1980,3,Uttar Pradesh,Tindol,0,1,0,Armed Assault,NGO,Mizo National Front,0,Incendiary, Firearms,0
1980,4,West Bengal,Calcutta,0,1,0,Bombing,Transportation,Unknown,0,Explosives,2,6
1980,4,Delhi,New Delhi,0,1,0,Assassination,Private Citizens,Unknown,0,Firearms, Grenade,0
1980,8,Tamil Nadu,Tirupattur,0,1,0,Bombing,Police,Naxalites,0,Explosives,6,0
1980,11,Assam,Unknown,0,0,0,Bombing,Utilities,Unknown,0,Explosives,0,0
1980,12,Assam,Unknown,0,1,0,Bombing,Transportation,Unknown,0,Explosives,0,0
1980,12,Assam,Unknown,0,1,0,Bombing,Transportation,Unknown,0,Explosives,0,0
1981,1,Manipur,Unknown,0,1,0,Unknown,Police,Unknown,0,Unknown,6,5
1981,1,Assam,Unknown,0,1,0,Bombing,Military,Extremists,0,Explosives,0,0
1981,2,Assam,Unknown,0,1,0,Bombing,Utilities,Extremists,0,Explosives,0,0
1981,3,Assam,Gauhati,0,1,0,Bombing,Government,Unknown,0,Explosives,0,0
1981,4,Assam,Gauhati,1,1,0,Bombing,Utilities,Unknown,0,Explosives,0,0
1981,4,Assam,Jorhat,0,1,0,Assassination,Government,Unknown,0,Explosives,1,0
1981,4,Nagaland,Unknown,0,1,0,Assassination,Government,Insurgents,0,Firearms,3,0
1981,6,Assam,Unknown,0,1,0,Bombing,Transportation,Unknown,0,Explosives,0,0
1981,7,Unknown,Unknown,0,1,0,Bombing,Transportation,Extremists,0,Explosives,0,0
1981,8,Manipur,Unknown,0,1,0,Bombing,Private Citizens,India,0,Explosives,0,2
1981,8,Assam,Unknown,0,1,0,Bombing,Transportation,Dissident,0,Explosives,0,0
1981,9,Manipur,Unknown,0,1,0,Unknown,Government,Unknown,0,Unknown,9,3
1981,9,Gujarat,Massad,0,1,0,Assassination,Military,Unknown,2,Unknown,1,0
1981,9,Delhi,New Delhi,0,1,0,Hijacking,Airports,Sikh Extremists,5,Firearms, Knives,0
1981,10,Chandigarh,Chandigarh,0,1,0,Assassination,Government,Sikh Extremists,2,Firearms,1,2
1981,11,Chandigarh,Chandigarh,0,1,0,Bombing,Institutions,Unknown,0,Explosives,3,0
1982,2,Manipur,Unknown,0,1,0,Unknown,Military,Secessionists,0,Unknown,20,5
1982,6,West Bengal,Unknown,0,1,0,Unknown,Violent Political Party,Naxalites,0,Unknown,6,2
1982,6,Assam,Gauhati,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives,19,50
1982,6,Delhi,New Delhi,0,1,0,Assassination,Government,Unknown,0,Firearms,1,0
1982,6,Mizoram,Aizawl,1,1,0,Assassination,Government,Unknown,0,Firearms,1,0
1982,6,Mizoram,Unknown,0,1,0,Assassination,Unknown,Mizo National Front,0,Firearms,4,0
1982,8,Rajasthan,Jodhpur,0,1,0,Hijacking,Airports,Sikh Extremists,1,Firearms, Grenade,1
1982,8,Maharashtra,Bombay,0,0,0,Assassination,Government,Unknown,1,Firearms,0,0
1982,10,Punjab,Amritsar,0,0,0,Unknown,Government,Akali Dal Party,5,Unknown,5,0
1982,10,Manipur,Tipaimukh,0,1,0,Armed Assault,Police,Mizo National Front,0,Firearms,6,0
1982,10,Punjab,Amritsar,0,1,0,Bombing,Institutions,Unknown,0,Explosives,1,35
1982,11,Delhi,New Delhi,0,1,0,Bombing,Government,Unknown,0,Explosives,0,0
1982,12,Maharashtra,Bombay,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,9
1983,1,Assam,Unknown,0,1,0,Bombing,Transportation,Unknown,0,Explosives,0,0
1983,2,Delhi,New Delhi,0,1,0,Bombing,Airports,Iranians,0,Explosives,0,0
1983,2,Delhi,New Delhi,0,1,0,Bombing,Airports,Iranians,0,Explosives,0,1
1983,2,Delhi,New Delhi,0,1,0,Unknown,Government,Unknown,0,Unknown,0,0
1983,2,Assam,Gauhati,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,13
1983,2,Assam,Guwahati,0,1,0,Assassination,Government,Unknown,1,Unknown,1,0
1983,3,Delhi,New Delhi,0,1,0,Bombing,Private Citizens,AISSF,0,Explosives,0,7
1983,3,Delhi,New Delhi,0,1,0,Bombing,Transportation,AISSF,0,Explosives,0,1
1983,3,Assam,Unknown,0,1,0,Bombing,Transportation,Unknown,0,Explosives,0,6
1983,3,Assam,Gauhati,0,0,0,Bombing,Private Citizens,Unknown,0,Explosives,0,0
1983,3,Punjab,Harchowal,0,0,0,Assassination,Institutions,Unknown,0,Unknown,0,1
1983,3,Punjab,Mothan Wala,0,1,0,Assassination,Private Citizens,Sikh Extremists,5,Firearms,1,1
1983,3,Punjab,Qadian,0,1,0,Armed Assault,Private Citizens,Sikh Extremists,0,Firearms,0,6
1983,3,Punjab,Unknown,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,2
1983,3,Chhattisgarh,Baloda Bazar,1,1,0,Bombing,Private Citizens,Unknown,0,Explosives,10,0
1983,3,Assam,Gauhati,1,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,0
1983,4,Assam,Gauhati,1,1,0,Bombing,Private Citizens,Unknown,0,Explosives,2,1
1983,4,Assam,Gauhati,1,1,0,Bombing,Transportation,Unknown,0,Explosives,0,0
1983,4,Uttar Pradesh,Kanpur,1,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,0
1983,4,Assam,Gauhati,0,1,0,Bombing,Maritime,Unknown,0,Explosives,0,0
1983,4,Punjab,Amritsar,0,1,0,Assassination,Police,Sikh Extremists,1,Firearms,2,0
1983,6,Punjab,Sultanpur Lodhi,0,1,0,Assassination,Institutions,Sikh Extremists,0,Unknown,1,0
1983,6,Punjab,Jalandhar,0,1,0,Bombing,Private Citizens,Sikh Extremists,1,Explosives,2,1
1983,8,Punjab,Sri Muktsar Sahib,0,1,0,Assassination,Police,Unknown,1,Firearms,2,0
1983,9,Punjab,Jalandhar,0,1,0,Bombing,Institutions,Sikh Extremists,0,Explosives,0,0
1983,9,Punjab,Ludhiana,0,1,0,Assassination,Police,Sikh Extremists,0,Firearms,2,1
1983,9,Punjab,Amritsar,0,1,0,Unknown,Business,Sikh Extremists,0,Unknown,0,0
1983,9,Punjab,Amritsar,0,1,0,Unknown,Business,Sikh Extremists,0,Unknown,0,0
1983,9,Punjab,Amritsar,0,1,0,Assassination,Private Citizens,Extremists,0,Firearms,1,0
1983,9,Punjab,Amritsar,0,1,0,Assassination,Police,Sikh Extremists,2,Firearms,3,0
1983,10,Delhi,Delhi,0,1,0,Bombing,Business,Unknown,0,Explosives,4,24
1983,10,Delhi,Delhi,0,1,0,Bombing,Business,Unknown,0,Explosives,4,24
1983,10,Delhi,New Delhi,0,1,0,Bombing,Transportation,Unknown,1,Explosives,0,19
1983,10,Punjab,Tarn Taran,1,0,0,Assassination,Police,Unknown,4,Firearms,0,1
1983,10,Chandigarh,Chandigarh,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives, Grenade,0
1983,10,Chandigarh,Chandigarh,0,0,0,Bombing,Police,Unknown,0,Explosives,0,0
1983,10,Chandigarh,Chandigarh,0,0,0,Bombing,Police,Unknown,0,Explosives,0,0
1983,10,Assam,Unknown,0,1,0,Bombing,Transportation,Unknown,0,Explosives,0,14
1983,10,Punjab,Amritsar,0,1,0,Assassination,Private Citizens,Sikh Extremists,2,Firearms,1,1
1983,10,Delhi,New Delhi,0,0,0,Assassination,Government,Unknown,1,Firearms,0,1
1983,11,Assam,Unknown,0,1,0,Bombing,Transportation,Extremists,0,Explosives,14,60
1983,11,Delhi,New Delhi,0,1,0,Unknown,Airports,Fedayeen,0,Unknown,0,0
1983,11,Assam,Gauhati,0,1,0,Bombing,Police,Unknown,0,Explosives,1,6
1983,11,Punjab,Unknown,0,1,0,Kidnapping,Transportation,Unknown,0,Firearms,4,0
1983,11,Assam,Gauhati,0,0,0,Assassination,Government,Unknown,1,Firearms,0,1
1983,11,Punjab,Jalandhar,0,0,0,Assassination,Government,Unknown,1,Firearms,0,1
1983,12,Punjab,Unknown,0,1,0,Assassination,Private Citizens,Sikh Extremists,3,Firearms,1,0
1984,2,Punjab,Unknown,0,1,0,Bombing,Private Citizens,Sikh Extremists,0,Explosives,0,0
1984,2,Punjab,Unknown,0,1,0,Assassination,Private Citizens,Sikh Extremists,0,Unknown,2,0
1984,2,Tripura,Unknown,0,1,0,Armed Assault,Military,TNV,0,Unknown, Automatic firearms,0
1984,2,Nagaland,Dimapur,0,1,0,Assassination,Government,Naga People,1,Firearms,1,0
1984,2,Punjab,Unknown,0,1,0,Unknown,Police,Sikh Extremists,0,Unknown,1,0
1984,2,Punjab,Unknown,0,1,0,Assassination,Police,Unknown,0,Melee,1,0
1984,2,Punjab,Unknown,0,1,0,Armed Assault,Police,Unknown,0,Explosives, Submachine gun,0
1984,2,Punjab,Bhatinda,0,1,0,Facility,Institutions,Unknown,0,Incendiary,0,0
1984,2,Punjab,Bhatinda,0,1,0,Facility,Institutions,Unknown,0,Incendiary,0,0
1984,2,Punjab,Bhatinda,0,1,0,Facility,Institutions,Unknown,0,Incendiary,0,0
1984,2,Punjab,Amritsar,0,1,0,Bombing,Police,Sikh Extremists,0,Explosives,0,0
1984,2,Punjab,Hoshiapur,0,0,0,Bombing,Institutions,Unknown,0,Explosives,0,0
1984,2,Haryana,Pehowa,0,1,0,Armed Assault,Private Citizens,Unknown,8,Firearms, Revolvers,0
1984,2,Punjab,Unknown,0,1,0,Armed Assault,Private Citizens,Sikh Extremists,0,Firearms,5,0
1984,2,Punjab,Amritsar,0,1,0,Bombing,Institutions,Unknown,0,Explosives,3,35
1984,3,Manipur,Imphal,0,1,0,Unknown,Military,India,5,Unknown,14,40
1984,3,Punjab,Unknown,0,1,0,Bombing,Transportation,Sikh Extremists,0,Explosives,0,0
1984,3,Punjab,Ferozepur district,0,1,0,Assassination,Institutions,Sikh Extremists,0,Firearms,1,0
1984,3,Punjab,Unknown,0,1,0,Assassination,Private Citizens,Unknown,0,Unknown,1,0
1984,3,Punjab,Unknown,0,1,0,Bombing,Police,Unknown,0,Explosives,0,1
1984,3,Delhi,New Delhi,0,1,0,Assassination,Government,Sikh Extremists,3,Firearms,2,1
1984,3,Punjab,Unknown,0,0,0,Assassination,Business,Unknown,0,Firearms,0,1
1984,3,Punjab,Amritsar,0,1,0,Assassination,Private Citizens,Unknown,0,Firearms,4,0
1984,3,Delhi,Delhi,0,1,0,Assassination,Private Citizens,Unknown,0,Unknown,1,0
1984,3,Tripura,Baramura,0,0,0,Armed Assault,Utilities,Tripura Nationalists,0,Firearms,0,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Institutions,Unknown,2,Explosives,2,20
1984,4,Punjab,Amritsar,0,1,0,Assassination,Government,Dishmish Regiment,2,Unknown,3,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Private Citizens,Sikh Extremists,0,Explosives,0,5
1984,4,Rajasthan,Unknown,0,1,0,Unknown,Business,Sikh Extremists,3,Unknown,2,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,3
1984,4,Punjab,Bhatinda,0,1,0,Bombing,Institutions,Unknown,0,Explosives,1,1
1984,4,Punjab,Unknown,0,1,0,Bombing,Institutions,Sikh Extremists,0,Explosives,0,3
1984,4,Punjab,Bhatinda,0,1,0,Assassination,Private Citizens,Unknown,0,Firearms,1,0
1984,4,Punjab,Rupnagar,0,1,0,Facility,Educational Institution,Unknown,0,Incendiary,0,0
1984,4,Punjab,Rahon,0,1,0,Assassination,Business,Sikh Extremists,6,Firearms,2,0
1984,4,Punjab,Patiala,1,1,0,Assassination,Business,Unknown,0,Unknown,1,0
1984,4,Punjab,Amritsar,1,1,0,Assassination,Business,Sikh Extremists,2,Unknown,1,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Institutions,Unknown,0,Explosives,0,0
1984,4,Punjab,Unknown,0,1,0,Armed Assault,Transportation,Sikh Extremists,0,Incendiary,0,0
1984,4,Punjab,Amritsar,0,1,0,Armed Assault,Institutions,Unknown,2,Firearms,2,5
1984,4,Haryana,Kalanaur,0,1,0,Assassination,Media,Sikh Extremists,3,Firearms,1,0
1984,4,Punjab,Amritsar,0,1,0,Assassination,Terrorists,Sikh Extremists,2,Firearms,1,0
1984,4,Punjab,Amritsar,1,1,0,Assassination,Terrorists,Sikh Extremists,0,Firearms,1,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Dishmish Regiment,0,Firearms, Bombs,0
1984,4,Punjab,Unknown,0,1,0,Facility,Government,Dishmish Regiment,0,Incendiary,0,0
1984,4,Punjab,Amritsar,0,1,0,Assassination,Terrorists,Sikh Extremists,0,Firearms, Hacked into pieces,0
1984,4,Punjab,Amritsar,0,1,0,Assassination,Violent Political Party,Sikh Extremists,0,Unknown,1,0
1984,4,Punjab,Amritsar,1,1,0,Assassination,Institutions,Unknown,3,Firearms,1,0
1984,4,Jammu and Kashmir,Bhela,0,1,0,Assassination,Private Citizens,Sikh Extremists,0,Unknown,2,0
1984,4,Chandigarh,Chandigarh,0,1,0,Assassination,Private Citizens,Sikh Extremists,2,Explosives, Firearms,0
1984,4,Punjab,Unknown,0,1,0,Bombing,Transportation,Sikh Extremists,0,Explosives,0,0
1984,4,Unknown,Unknown,0,1,0,Assassination,Terrorists,Sikh Extremists,0,Unknown,1,0
1984,4,Unknown,Unknown,0,1,0,Facility,Transportation,Sikh Extremists,0,Incendiary,0,0
1984,4,Punjab,Jogiana,0,1,0,Assassination,Institutions,Sikh Extremists,0,Firearms,1,3
1984,4,Himachal Pradesh,Amarkot,0,1,0,Armed Assault,Business,Sikh Extremists,15,Firearms,3,10
1984,4,Punjab,Unknown,0,1,0,Assassination,Military,Unknown,0,Melee,1,0
1984,4,Punjab,Firozpur,0,1,0,Unknown,Police,Unknown,12,Unknown,6,8
1984,4,Punjab,Unknown,0,1,0,Unknown,Police,Sikh Extremists,0,Unknown,2,0
1984,4,Punjab,Amritsar,1,1,0,Assassination,Institutions,Sikh Extremists,0,Melee,1,0
1984,4,Punjab,Amritsar,0,1,0,Assassination,Business,Sikh Extremists,0,Firearms,1,0
1984,4,Punjab,Unknown,0,1,0,Assassination,Business,Unknown,0,Firearms,1,0
1984,4,Punjab,Unknown,0,1,0,Assassination,Police,Sikh Extremists,2,Firearms,2,2
1984,5,Tripura,Unknown,0,1,0,Assassination,Police,TNV,3,Firearms,3,0
1984,5,Punjab,Unknown,0,0,0,Assassination,Government,Unknown,2,Firearms,0,1
1984,5,Haryana,Unknown,0,0,0,Armed Assault,Transportation,Unknown,5,Firearms, Pistol,0
1984,5,Punjab,Amritsar,0,1,0,Bombing,Police,Sikh Extremists,0,Explosives, Firearm,0
1984,5,Punjab,Ferozepur district,0,1,0,Assassination,Government,Sikh Extremists,0,Unknown,1,1
1984,5,Punjab,Amritsar,0,1,0,Assassination,Institutions,Sikh Extremists,3,Firearms,1,0
1984,5,Punjab,Unknown,0,1,0,Assassination,Media,Dishmish Regiment,3,Firearms,1,0
1984,5,Punjab,Unknown,0,1,0,Unknown,Transportation,Sikh Extremists,2,Unknown,1,5
1984,5,Unknown,Unknown,0,1,0,Bombing,Business,Unknown,0,Explosives,3,0
1984,5,Punjab,Amritsar,0,1,0,Assassination,Institutions,Unknown,0,Firearms,3,0
1984,5,Manipur,Unknown,0,0,0,Bombing,Business,India,1,Unknown,0,0
1984,5,Punjab,Unknown,0,1,0,Assassination,Institutions,Dishmish Regiment,3,Firearms,1,0
1984,5,Punjab,Unknown,0,1,0,Facility,Private Citizens,Dishmish Regiment,0,Incendiary,0,0
1984,5,Jammu and Kashmir,Jammu,0,0,0,Bombing,Transportation,Unknown,0,Explosives,1,0
1984,5,Punjab,Unknown,0,0,0,Assassination,Government,Unknown,0,Firearms,0,1
1984,5,Punjab,Ferozepur,0,1,0,Assassination,Police,Unknown,0,Firearms,1,0
1984,5,Punjab,Mansa district,0,1,0,Assassination,Institutions,Extremists,0,Unknown,1,0
1984,5,Punjab,Moga,1,1,0,Hijacking,Transportation,Sikh Extremists,6,Unknown,4,10
1984,5,Punjab,Amritsar,0,0,0,Bombing,Police,Unknown,0,Explosives,0,2
1984,5,Punjab,Unknown,0,1,0,Armed Assault,Private Citizens,Unknown,6,Firearms,3,4
1984,5,Punjab,Ferozepur,0,1,0,Assassination,Government,Sikh Extremists,2,Firearms,1,0
1984,5,Punjab,Unknown,0,1,0,Assassination,Military,Sikh Extremists,0,Vehicle,2,0
1984,5,Punjab,Unknown,0,1,0,Facility,Government,Sikh Extremists,0,Incendiary,0,0
1984,5,Punjab,Unknown,0,0,0,Bombing,Transportation,Sikh Extremists,0,Explosives,0,0
1984,5,Punjab,Amritsar,0,1,0,Assassination,Government,Unknown,0,Firearms,2,0
1984,5,Punjab,Tarn Taran,0,1,0,Assassination,Police,Unknown,0,Firearms,2,0
1984,5,Punjab,Batala,1,1,0,Armed Assault,Private Citizens,Unknown,0,Firearms,0,2
1984,6,Punjab,Dhariwal,0,1,0,Armed Assault,Institutions,Unknown,0,Firearms,4,8
1984,6,Punjab,Patiala district,0,1,0,Assassination,Private Citizens,Unknown,0,Unknown,3,0
1984,6,Punjab,Hoshiarpur,0,1,0,Assassination,Government,Unknown,0,Unknown,1,0
1984,6,Punjab,Lakhuwal,0,1,0,Assassination,Private Citizens,Sikh Extremists,0,Firearms,1,0
1984,6,Punjab,Khanewal,0,1,0,Assassination,Private Citizens,Sikh Extremists,0,Firearms,1,0
1984,6,Assam,Tezpur,0,1,0,Bombing,Business,Unknown,0,Explosives,1,21
1984,6,Punjab,Unknown,0,1,0,Assassination,Institutions,Sikh Extremists,0,Melee,1,0
1984,6,Punjab,Unknown,0,1,0,Assassination,Government,Sikh Extremists,3,Firearms,1,0
1984,6,Haryana,Unknown,0,1,0,Bombing,Business,Unknown,0,Unknown,0,3
1984,6,Punjab,Gurdaspur,1,1,0,Bombing,Private Citizens,Unknown,0,Explosives,1,2
1984,6,Assam,Sootea,0,1,0,Assassination,Police,Unknown,0,Unknown,0,3
1984,6,Assam,Tezpur,1,1,0,Bombing,Transportation,Unknown,0,Explosives,0,0
1984,6,Punjab,Unknown,0,1,0,Assassination,Institutions,Unknown,0,Melee,1,0
1984,6,Punjab,Batala,0,1,0,Assassination,Private Citizens,Unknown,3,Firearms,3,0
1984,6,Assam,Tezpur,0,1,0,Bombing,Private Citizens,Unknown,0,Explosives,0,21
1984,7,Unknown,Unknown,0,1,0,Facility,Unknown,Unknown,0,Sabotage Equipment,0,0
1984,7,Punjab,Ludhiana district,0,0,0,Unknown,Police,Sikh Extremists,2,Unknown,1,0
1984,8,Tamil Nadu,Chennai,0,1,0,Bombing,Airports,Unknown,0,Explosives,31,19
1984,8,Punjab,Unknown,0,1,0,Assassination,Private Citizens,Sikh Extremists,0,Firearms,1,0
1984,8,Karnataka,Unknown,0,0,0,Hijacking,Airports,Unknown,1,Explosives,0,0
1984,8,Unknown,Unknown,0,1,0,Hijacking,Airports,Sikh Extremists,7,Melee, Pistol,0
1984,9,Unknown,Unknown,0,1,0,Armed Assault,Business,Sikh Extremists,0,Melee,0,45
1984,9,Tripura,Subaisingh,0,1,0,Armed Assault,Transportation,TNV,0,Melee, Ambushed,0
1984,9,Punjab,Jalandhar,0,1,0,Bombing,Business,Sikh Extremists,0,Explosives,2,15
1984,9,Punjab,Batala,0,1,0,Hijacking,Transportation,Sikh Extremists,5,Firearms,14,0
1984,10,Punjab,Amritsar,0,1,0,Bombing,Private Citizens,Sikh Extremists,1,Explosives, Grenade,0
1984,10,Delhi,Delhi,0,1,0,Bombing,Business,Unknown,0,Explosives,0,18
1984,10,Delhi,New Delhi,0,1,0,Assassination,Government,Sikh Extremists,2,Firearms, Automatic firearm,0
1984,11,Maharashtra,Bombay,0,1,0,Assassination,Government,Revolutionary Organization of Socialist Muslims,2,Firearms,1,0
1984,12,Manipur,Imphal,1,0,0,Assassination,Government,National Socialist Council of Nagaland,0,Unknown,0,0
1984,12,Unknown,Nalavdar,0,1,0,Bombing,Police,Extremists,12,Explosives, Firearms,0
1985,2,Punjab,Bathinda district,0,1,0,Unknown,Institutions,Unknown,0,Unknown,6,0
1985,2,Tripura,Unknown,0,1,0,Assassination,Private Citizens,TNV,0,Unknown,2,1
1985,2,Unknown,Bhrigudas Bari,0,1,0,Unknown,Private Citizens,TNV,0,Unknown,0,0
1985,2,Unknown,Madhaybrar,0,1,0,Assassination,Government,TNV,0,Firearms,0,0
1985,3,Chandigarh,Chandigarh,0,1,0,Assassination,Government,Sikh Extremists,2,Unknown,1,0
1985,3,Chandigarh,Chandigarh,0,1,0,Assassination,Government,Sikh Extremists,2,Unknown,1,0
1985,4,Chandigarh,Chandigarh,0,1,0,Assassination,Police,Unknown,0,Unknown,1,0
1985,4,Punjab,Amritsar,0,0,0,Assassination,Government,Sikh Extremists,0,Firearms,1,0
